(z2,s3,pot_s3,s2,pot_s2,z1,s1,pot_s1,s0)
492:(0,1,12,1,12,0,0,3,0)
493:(0,1,12,1,12,0,0,3,1)
494:(0,1,12,1,12,0,0,6,0)
495:(0,1,12,1,12,0,0,6,1)
496:(0,1,12,1,12,0,0,9,0)
497:(0,1,12,1,12,0,0,9,1)
498:(0,1,12,1,12,0,0,12,0)
499:(0,1,12,1,12,0,0,12,1)
500:(0,1,12,1,12,0,1,11,0)
501:(0,1,12,1,12,0,1,11,1)
502:(0,1,12,1,12,0,1,14,0)
503:(0,1,12,1,12,0,1,14,1)
504:(1,0,0,0,0,1,0,0,0)
505:(1,0,0,0,0,1,0,0,1)
506:(1,0,0,0,3,1,0,0,0)
507:(1,0,0,0,3,1,0,0,1)
508:(1,0,0,0,6,1,0,0,0)
509:(1,0,0,0,6,1,0,0,1)
510:(1,0,0,0,9,1,0,0,0)
511:(1,0,0,0,9,1,0,0,1)
512:(1,0,0,1,9,1,0,0,0)
513:(1,0,0,1,9,1,0,0,1)
514:(1,0,0,1,12,1,0,0,0)
515:(1,0,0,1,12,1,0,0,1)
516:(1,0,3,0,0,1,0,0,0)
517:(1,0,3,0,0,1,0,0,1)
518:(1,0,3,0,3,1,0,0,0)
519:(1,0,3,0,3,1,0,0,1)
520:(1,0,3,0,6,1,0,0,0)
521:(1,0,3,0,6,1,0,0,1)
522:(1,0,3,0,9,1,0,0,0)
523:(1,0,3,0,9,1,0,0,1)
524:(1,0,3,1,9,1,0,0,0)
525:(1,0,3,1,9,1,0,0,1)
526:(1,0,3,1,12,1,0,0,0)
527:(1,0,3,1,12,1,0,0,1)
528:(1,0,6,0,0,1,0,0,0)
529:(1,0,6,0,0,1,0,0,1)
530:(1,0,6,0,3,1,0,0,0)
531:(1,0,6,0,3,1,0,0,1)
532:(1,0,6,0,6,1,0,0,0)
533:(1,0,6,0,6,1,0,0,1)
534:(1,0,6,0,9,1,0,0,0)
535:(1,0,6,0,9,1,0,0,1)
536:(1,0,6,1,9,1,0,0,0)
537:(1,0,6,1,9,1,0,0,1)
538:(1,0,6,1,12,1,0,0,0)
539:(1,0,6,1,12,1,0,0,1)
540:(1,0,9,0,0,1,0,0,0)
541:(1,0,9,0,0,1,0,0,1)
542:(1,0,9,0,3,1,0,0,0)
543:(1,0,9,0,3,1,0,0,1)
544:(1,0,9,0,6,1,0,0,0)
545:(1,0,9,0,6,1,0,0,1)
546:(1,0,9,0,9,1,0,0,0)
547:(1,0,9,0,9,1,0,0,1)
548:(1,0,9,1,9,1,0,0,0)
549:(1,0,9,1,9,1,0,0,1)
550:(1,0,9,1,12,1,0,0,0)
